Name	FormID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation
Conjure Frost Atronach	0x0204C4	Skyrim.esm	ConjurationSummon	-1	-1	-1	3
Conjure Golden Saint Archer	0x00086F	ccbgssse025-advdsgs.esm	ConjurationSummon	-1	-1	-1	3
Conjure Golden Saint Warrior	0x0008CB	ccbgssse025-advdsgs.esm	ConjurationSummon	-1	-1	-1	3
Conjure Mistman	0x0045b8	Dawnguard.esm	ConjurationSummon	-1	-1	-1	3
Conjure Putrid Zombie	0x000805	ccbgssse003-zombies.esl	ConjurationSummon	-1	-1	-1	3
Conjure Seeker	0x033c66	Dragonborn.esm	ConjurationSummon	-1	-1	-1	3
Conjure Skeleton Champion	0x000877	ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	3
Conjure Tomb Guardian	0x000854	ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	3
Necromancer's Ritual	0x000869	ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	10s	1,75	2
Revenant	0x096D94	Skyrim.esm	ConjurationSummon	-1	-1	-1	4
Conjure Ash Guardian	0x017782	Dragonborn.esm	ConjurationSummon	-1	-1	-1	3
Command Daedra	0x06F953	Skyrim.esm	ConjurationSummon	-1	-1	-1	3
Conjure Ayleid Lich	0x147D95	ccbgssse067-daedinv.esm	ConjurationSummon	-1	-1	-1	3
Conjure Cursed Spectre	0x000870	ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	3
Conjure Dragon Priest	0x10FC16	Skyrim.esm	ConjurationSummon	-1	-1	-1	3
Conjure Dremora Lord	0x10DDEC	Skyrim.esm	ConjurationSummon	-1	-1	-1	3
Conjure Malignant Zombie	0x000807	ccbgssse003-zombies.esl	ConjurationSummon	-1	-1	-1	3
Conjure Skeleton Warlock	0x00084E	ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	3
Conjure Storm Atronach	0x0204C5	Skyrim.esm	ConjurationSummon	-1	-1	-1	3
Conjure Wrathman	0x0045b3	Dawnguard.esm	ConjurationSummon	-1	-1	-1	3
Dread Zombie	0x096D95	Skyrim.esm	ConjurationSummon	-1	-1	-1	4
Expel Daedra	0x06F952	Skyrim.esm	ConjurationSummon	-1	-1	-1	3
Pride of Hirstaang	0x000852	ccbgssse014-spellpack01.esl	ConjurationSummon	-1	-1	-1	3
Conjure Ancient Deathpriest	0x000852	ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	10s	1,75	3
Conjure Bone Colossus	0x000861	ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	10s	1,75	3
Conjure Staada	0x19D3FA	ccbgssse025-advdsgs.esm	ConjurationSummon	-1	-1	-1	3
Flame Thrall	0x07E5D5	Skyrim.esm	ConjurationSummon	-1	-1	1,75	3
Dead Thrall	0x07E8DF	Skyrim.esm	ConjurationSummon	-1	-1	1,75	4
Frost Thrall	0x07E5D6	Skyrim.esm	ConjurationSummon	-1	-1	1,75	3
Storm Thrall	0x07E5D7	Skyrim.esm	ConjurationSummon	-1	-1	1,75	3
Summon Arniel's Shade	0x06A153	Skyrim.esm	ConjurationSummon	-1	-1	-1	3
Summon Unbound Dremora	0x099F39	Skyrim.esm	ConjurationSummon	-1	10s	1,75	3
